"","Mosquitoes_mean","y"
"1",0,-6.66477941125436
"2",54.3243601662626,-6.66456794755494
"3",108.648720332525,-6.66411982931645
"4",162.973080498788,-6.66411982931645
"5",217.29744066505,-6.6641171207316
"6",271.621800831313,-6.6641171207316
"7",325.946160997576,-6.66409418415086
"8",380.270521163838,-6.66409418415086
"9",434.594881330101,-6.66409418415086
"10",488.919241496364,-6.66409418415086
"11",543.243601662626,-6.6638847381128
"12",597.567961828889,-6.66386091348104
"13",651.892321995151,-6.66386091348104
"14",706.216682161414,-6.66386091348104
"15",760.541042327677,-6.66386091348104
"16",814.865402493939,-6.66383327627144
"17",869.189762660202,-6.66380309861093
"18",923.514122826465,-6.66380309861093
"19",977.838482992727,-6.66388484979833
"20",1032.16284315899,-6.66360739354655
"21",1086.48720332525,-6.66360739354655
"22",1140.81156349152,-6.66360739354655
"23",1195.13592365778,-6.66367739505197
"24",1249.46028382404,-6.66367739505197
"25",1303.7846439903,-6.6628012660635
"26",1358.10900415657,-6.66179617720468
"27",1412.43336432283,-6.66176989807713
"28",1466.75772448909,-6.66176989807713
"29",1521.08208465535,-6.66068936070642
"30",1575.40644482162,-6.66048213216506
"31",1629.73080498788,-6.65987927346138
"32",1684.05516515414,-6.65066759416366
"33",1738.3795253204,-6.65045506412426
"34",1792.70388548667,-6.65238118964971
"35",1847.02824565293,-6.65220780386036
"36",1901.35260581919,-6.65305019955512
"37",1955.67696598545,-6.65309197922369
"38",2010.00132615172,-6.64906542297411
"39",2064.32568631798,-6.64323639376582
"40",2118.65004648424,-6.64323639376582
"41",2172.9744066505,-6.64323639376582
"42",2227.29876681677,-6.64374094184477
"43",2281.62312698303,-6.6438051294531
"44",2335.94748714929,-6.6438051294531
"45",2390.27184731556,-6.64386481392302
"46",2444.59620748182,-6.6440317584066
"47",2498.92056764808,-6.64428200784243
"48",2553.24492781434,-6.64391409953968
"49",2607.56928798061,-6.64343663417178
"50",2661.89364814687,-6.64343663417178
"51",2716.21800831313,-6.64343663417178
"52",2770.54236847939,-6.64343663417178
"53",2824.86672864566,-6.64343663417178
"54",2879.19108881192,-6.64343663417178
"55",2933.51544897818,-6.64343663417178
"56",2987.83980914444,-6.64343663417178
"57",3042.16416931071,-6.64343663417178
"58",3096.48852947697,-6.64343663417178
"59",3150.81288964323,-6.64343663417178
"60",3205.13724980949,-6.64343663417178
"61",3259.46160997576,-6.64343663417178
"62",3313.78597014202,-6.64343663417178
"63",3368.11033030828,-6.64343663417178
"64",3422.43469047455,-6.64343663417178
"65",3476.75905064081,-6.64343663417178
"66",3531.08341080707,-6.64343663417178
"67",3585.40777097333,-6.64343663417178
"68",3639.7321311396,-6.64343663417178
"69",3694.05649130586,-6.64343663417178
"70",3748.38085147212,-6.64343663417178
"71",3802.70521163838,-6.64343663417178
"72",3857.02957180465,-6.64343663417178
"73",3911.35393197091,-6.64343663417178
"74",3965.67829213717,-6.64343663417178
"75",4020.00265230343,-6.64343663417178
"76",4074.3270124697,-6.64343663417178
"77",4128.65137263596,-6.64343663417178
"78",4182.97573280222,-6.64343663417178
"79",4237.30009296848,-6.64343663417178
"80",4291.62445313475,-6.64343663417178
"81",4345.94881330101,-6.64343663417178
"82",4400.27317346727,-6.64343663417178
"83",4454.59753363354,-6.64343663417178
"84",4508.9218937998,-6.64343663417178
"85",4563.24625396606,-6.64343663417178
"86",4617.57061413232,-6.64343663417178
"87",4671.89497429859,-6.64343663417178
"88",4726.21933446485,-6.64343663417178
"89",4780.54369463111,-6.64343663417178
"90",4834.86805479737,-6.64343663417178
"91",4889.19241496364,-6.64343663417178
"92",4943.5167751299,-6.64343663417178
"93",4997.84113529616,-6.64343663417178
"94",5052.16549546242,-6.64343663417178
"95",5106.48985562869,-6.64343663417178
"96",5160.81421579495,-6.64343663417178
"97",5215.13857596121,-6.64343663417178
"98",5269.46293612747,-6.64343663417178
"99",5323.78729629374,-6.64343663417178
"100",5378.11165646,-6.64343663417178
