"","PITYRIASEIDAE","y"
"1",0,-4.68904833642518
"2",0,-4.68904833642518
"3",0,-4.68904833642518
"4",0,-4.68904833642518
"5",0,-4.68904833642518
"6",0,-4.68904833642518
"7",0,-4.68904833642518
"8",0,-4.68904833642518
"9",0,-4.68904833642518
"10",0,-4.68904833642518
"11",0,-4.68904833642518
"12",0,-4.68904833642518
"13",0,-4.68904833642518
"14",0,-4.68904833642518
"15",0,-4.68904833642518
"16",0,-4.68904833642518
"17",0,-4.68904833642518
"18",0,-4.68904833642518
"19",0,-4.68904833642518
"20",0,-4.68904833642518
"21",0,-4.68904833642518
"22",0,-4.68904833642518
"23",0,-4.68904833642518
"24",0,-4.68904833642518
"25",0,-4.68904833642518
"26",0,-4.68904833642518
"27",0,-4.68904833642518
"28",0,-4.68904833642518
"29",0,-4.68904833642518
"30",0,-4.68904833642518
"31",0,-4.68904833642518
"32",0,-4.68904833642518
"33",0,-4.68904833642518
"34",0,-4.68904833642518
"35",0,-4.68904833642518
"36",0,-4.68904833642518
"37",0,-4.68904833642518
"38",0,-4.68904833642518
"39",0,-4.68904833642518
"40",0,-4.68904833642518
"41",0,-4.68904833642518
"42",0,-4.68904833642518
"43",0,-4.68904833642518
"44",0,-4.68904833642518
"45",0,-4.68904833642518
"46",0,-4.68904833642518
"47",0,-4.68904833642518
"48",0,-4.68904833642518
"49",0,-4.68904833642518
"50",0,-4.68904833642518
"51",0,-4.68904833642518
"52",0,-4.68904833642518
"53",0,-4.68904833642518
"54",0,-4.68904833642518
"55",0,-4.68904833642518
"56",0,-4.68904833642518
"57",0,-4.68904833642518
"58",0,-4.68904833642518
"59",0,-4.68904833642518
"60",0,-4.68904833642518
"61",0,-4.68904833642518
"62",0,-4.68904833642518
"63",0,-4.68904833642518
"64",0,-4.68904833642518
"65",0,-4.68904833642518
"66",0,-4.68904833642518
"67",0,-4.68904833642518
"68",0,-4.68904833642518
"69",0,-4.68904833642518
"70",0,-4.68904833642518
"71",0,-4.68904833642518
"72",0,-4.68904833642518
"73",0,-4.68904833642518
"74",0,-4.68904833642518
"75",0,-4.68904833642518
"76",0,-4.68904833642518
"77",0,-4.68904833642518
"78",0,-4.68904833642518
"79",0,-4.68904833642518
"80",0,-4.68904833642518
"81",0,-4.68904833642518
"82",0,-4.68904833642518
"83",0,-4.68904833642518
"84",0,-4.68904833642518
"85",0,-4.68904833642518
"86",0,-4.68904833642518
"87",0,-4.68904833642518
"88",0,-4.68904833642518
"89",0,-4.68904833642518
"90",0,-4.68904833642518
"91",0,-4.68904833642518
"92",0,-4.68904833642518
"93",0,-4.68904833642518
"94",0,-4.68904833642518
"95",0,-4.68904833642518
"96",0,-4.68904833642518
"97",0,-4.68904833642518
"98",0,-4.68904833642518
"99",0,-4.68904833642518
"100",0,-4.68904833642518
