"","PLUVIANELLIDAE","y"
"1",0,-4.92228202463588
"2",0,-4.92228202463588
"3",0,-4.92228202463588
"4",0,-4.92228202463588
"5",0,-4.92228202463588
"6",0,-4.92228202463588
"7",0,-4.92228202463588
"8",0,-4.92228202463588
"9",0,-4.92228202463588
"10",0,-4.92228202463588
"11",0,-4.92228202463588
"12",0,-4.92228202463588
"13",0,-4.92228202463588
"14",0,-4.92228202463588
"15",0,-4.92228202463588
"16",0,-4.92228202463588
"17",0,-4.92228202463588
"18",0,-4.92228202463588
"19",0,-4.92228202463588
"20",0,-4.92228202463588
"21",0,-4.92228202463588
"22",0,-4.92228202463588
"23",0,-4.92228202463588
"24",0,-4.92228202463588
"25",0,-4.92228202463588
"26",0,-4.92228202463588
"27",0,-4.92228202463588
"28",0,-4.92228202463588
"29",0,-4.92228202463588
"30",0,-4.92228202463588
"31",0,-4.92228202463588
"32",0,-4.92228202463588
"33",0,-4.92228202463588
"34",0,-4.92228202463588
"35",0,-4.92228202463588
"36",0,-4.92228202463588
"37",0,-4.92228202463588
"38",0,-4.92228202463588
"39",0,-4.92228202463588
"40",0,-4.92228202463588
"41",0,-4.92228202463588
"42",0,-4.92228202463588
"43",0,-4.92228202463588
"44",0,-4.92228202463588
"45",0,-4.92228202463588
"46",0,-4.92228202463588
"47",0,-4.92228202463588
"48",0,-4.92228202463588
"49",0,-4.92228202463588
"50",0,-4.92228202463588
"51",0,-4.92228202463588
"52",0,-4.92228202463588
"53",0,-4.92228202463588
"54",0,-4.92228202463588
"55",0,-4.92228202463588
"56",0,-4.92228202463588
"57",0,-4.92228202463588
"58",0,-4.92228202463588
"59",0,-4.92228202463588
"60",0,-4.92228202463588
"61",0,-4.92228202463588
"62",0,-4.92228202463588
"63",0,-4.92228202463588
"64",0,-4.92228202463588
"65",0,-4.92228202463588
"66",0,-4.92228202463588
"67",0,-4.92228202463588
"68",0,-4.92228202463588
"69",0,-4.92228202463588
"70",0,-4.92228202463588
"71",0,-4.92228202463588
"72",0,-4.92228202463588
"73",0,-4.92228202463588
"74",0,-4.92228202463588
"75",0,-4.92228202463588
"76",0,-4.92228202463588
"77",0,-4.92228202463588
"78",0,-4.92228202463588
"79",0,-4.92228202463588
"80",0,-4.92228202463588
"81",0,-4.92228202463588
"82",0,-4.92228202463588
"83",0,-4.92228202463588
"84",0,-4.92228202463588
"85",0,-4.92228202463588
"86",0,-4.92228202463588
"87",0,-4.92228202463588
"88",0,-4.92228202463588
"89",0,-4.92228202463588
"90",0,-4.92228202463588
"91",0,-4.92228202463588
"92",0,-4.92228202463588
"93",0,-4.92228202463588
"94",0,-4.92228202463588
"95",0,-4.92228202463588
"96",0,-4.92228202463588
"97",0,-4.92228202463588
"98",0,-4.92228202463588
"99",0,-4.92228202463588
"100",0,-4.92228202463588
